Wavelength (nm),Abs
700,0.0928966701
699.9799805,0.09256914258
699.960022,0.09449500591
699.9400024,0.09586824477
699.9199829,0.09384022653
699.9000244,0.09438113868
699.8800049,0.09533756971
699.8599854,0.09319377691
699.8400269,0.0948061496
699.8200073,0.09454945475
699.7999878,0.0905693844
699.7800293,0.09550131112
699.7600098,0.09320728481
699.7399902,0.09622770548
699.7199707,0.09262079
699.7000122,0.09303788841
699.6799927,0.09324020147
699.6599731,0.09468171
699.6400146,0.09480427951
699.6199951,0.09328666329
699.5999756,0.09135285765
699.5800171,0.09491748363
699.5599976,0.09449268878
699.539978,0.09318213165
699.5200195,0.09433755279
699.5,0.09541266412
699.4799805,0.09244684875
699.460022,0.09460767359
699.4400024,0.09629051387
699.4199829,0.09275630862
699.4000244,0.0949941501
699.3800049,0.09626217932
699.3599854,0.09411585331
699.3400269,0.09549383074
699.3200073,0.09419562668
699.2999878,0.09549934417
699.2800293,0.09288536012
699.2600098,0.09276700765
699.2399902,0.09482122213
699.2199707,0.09361907095
699.2000122,0.09484105557
699.1799927,0.09447206557
699.1599731,0.09533040971
699.1400146,0.09439069778
699.1199951,0.09658341855
699.0999756,0.09362038225
699.0800171,0.09495852143
699.0599976,0.09464549273
699.039978,0.09468422085
699.0200195,0.09550444037
699,0.09395908564
698.9799805,0.09547106177
698.960022,0.09550286084
698.9400024,0.09432208538
698.9199829,0.09498474002
698.9000244,0.09464578331
698.8800049,0.09373407811
698.8599854,0.09563589096
698.8400269,0.09463474154
698.8200073,0.09451894462
698.7999878,0.09501608461
698.7800293,0.09625674784
698.7600098,0.09547564387
698.7399902,0.0944583565
698.7199707,0.09336914122
698.7000122,0.09612634033
698.6799927,0.09569177777
698.6599731,0.09624961019
698.6400146,0.09501872957
698.6199951,0.09342835844
698.5999756,0.09440070391
698.5800171,0.09530033171
698.5599976,0.09419675171
698.539978,0.09488688409
698.5200195,0.09503415972
698.5,0.09438493848
698.4799805,0.09376382828
698.460022,0.09529978037
698.4400024,0.09454803914
698.4199829,0.09645391256
698.4000244,0.09582528472
698.3800049,0.0954381004
698.3599854,0.09484012425
698.3400269,0.09559775889
698.3200073,0.09611725807
698.2999878,0.09599044174
698.2800293,0.09597346187
698.2600098,0.09615670145
698.2399902,0.093206577
698.2199707,0.09535465389
698.2000122,0.09432439506
698.1799927,0.09566260874
698.1599731,0.09583441913
698.1400146,0.09671933204
698.1199951,0.09448991716
698.0999756,0.09641376138
698.0800171,0.09336759895
698.0599976,0.09563689679
698.039978,0.09671483934
698.0200195,0.0961901322
698,0.09722401947
697.9799805,0.09760864824
697.960022,0.09595596045
697.9400024,0.09589549154
697.9199829,0.09547412395
697.9000244,0.09600646049
697.8800049,0.09513472021
697.8599854,0.0964980647
697.8400269,0.09545771033
697.8200073,0.09704754502
697.7999878,0.09550309181
697.7800293,0.09476010501
697.7600098,0.0950243324
697.7399902,0.09588177502
697.7199707,0.09398801625
697.7000122,0.09548141807
697.6799927,0.09551411867
697.6599731,0.09597923607
697.6400146,0.09712568671
697.6199951,0.09796708077
697.5999756,0.0972237289
697.5800171,0.09844259918
697.5599976,0.09645196795
697.539978,0.09776061028
697.5200195,0.09652350843
697.5,0.09349140525
697.4799805,0.09726634622
697.460022,0.09448113292
697.4400024,0.09661956877
697.4199829,0.09760446846
697.4000244,0.09596102685
697.3800049,0.09724205732
697.3599854,0.09603926539
697.3400269,0.09453329444
697.3200073,0.09759798646
697.2999878,0.09687082469
697.2800293,0.09454478323
697.2600098,0.09553156793
697.2399902,0.09689266235
697.2199707,0.09804879874
697.2000122,0.09744442999
697.1799927,0.09536977857
697.1599731,0.09622957557
697.1400146,0.09543052316
697.1199951,0.09781073779
697.0999756,0.09803234786
697.0800171,0.09553356469
697.0599976,0.09762816131
697.039978,0.09721968323
697.0200195,0.09676222503
697,0.09668440372
696.9799805,0.09534846246
696.960022,0.09521532804
696.9400024,0.09679670632
696.9199829,0.09601166099
696.9000244,0.09519357234
696.8800049,0.09610424191
696.8599854,0.09482910484
696.8400269,0.09681741148
696.8200073,0.09545245767
696.7999878,0.09698414057
696.7800293,0.09557937086
696.7600098,0.09713608027
696.7399902,0.09641402215
696.7199707,0.09866775572
696.7000122,0.0961330235
696.6799927,0.09655909985
696.6599731,0.09419569373
696.6400146,0.09749017656
696.6199951,0.09781572968
696.5999756,0.09793172777
696.5800171,0.0960246399
696.5599976,0.09641447663
696.539978,0.09540527314
696.5200195,0.09775178879
696.5,0.09900928289
696.4799805,0.09720523655
696.460022,0.09645423293
696.4400024,0.09784698486
696.4199829,0.09566328675
696.4000244,0.09641822428
696.3800049,0.09639514983
696.3599854,0.09708428383
696.3400269,0.09676914662
696.3200073,0.09542110562
696.2999878,0.09709610045
696.2800293,0.09838743508
696.2600098,0.09802797437
696.2399902,0.09799082577
696.2199707,0.09487061948
696.2000122,0.09684128314
696.1799927,0.0956652239
696.1599731,0.09688101709
696.1400146,0.09692395478
696.1199951,0.09536445886
696.0999756,0.09680948406
696.0800171,0.09373379499
696.0599976,0.09630165994
696.039978,0.09422019124
696.0200195,0.09714194387
696,0.09462556988
695.9799805,0.09523966163
695.960022,0.09474854171
695.9400024,0.09400562942
695.9199829,0.09444577247
695.9000244,0.09524198622
695.8800049,0.09891463816
695.8599854,0.09502913058
695.8400269,0.0951166153
695.8200073,0.0947689265
695.7999878,0.09685315937
695.7800293,0.09475810826
695.7600098,0.09816975892
695.7399902,0.09716392308
695.7199707,0.09426756203
695.7000122,0.09644389153
695.6799927,0.09496463835
695.6599731,0.09609252214
